method	lab		results
A	lab1		4.13
A	lab1		4.07
A	lab1		4.04
A	lab1		4.07
A	lab1		4.05
B	lab1		4.04
B	lab1		4.02
B	lab1		4.06
B	lab1		4.10
B	lab1		4.04
A	lab2		3.86
A	lab2		3.85
A	lab2		4.08
A	lab2		4.11
A	lab2		4.08
B	lab2		4.01
B	lab2		4.02
B	lab2		4.04
B	lab2		3.97
B	lab2		3.95
A	lab3		4.00
A	lab3		4.02
A	lab3		4.01
A	lab3		4.01
A	lab3		4.04
B	lab3		3.99
B	lab3		4.03
B	lab3		3.97
B	lab3		3.98
b	lab3		3.98
A	lab4		3.88
A	lab4		3.88
A	lab4		3.91
A	lab4		3.95
A	lab4		3.92
B	lab4		3.97
B	lab4		3.92
B	lab4		3.90
B	lab4		3.97
B	lab4		3.9
A	lab5		4.02
A	lab5		3.95
A	lab5		4.02
A	lab5		3.89
A	lab5		3.91
B	lab5		4.01
B	lab5		3.89
B	lab5		3.89
B	lab5		3.99
B	lab5		4.00
A	lab6		4.02
A	lab6		3.86
A	lab6		3.96
A	lab6		3.97
A	lab6		4.00
B	lab6		3.82
B	lab6		3.98
B	lab6		3.99
B	lab6		4.02
B	lab6		3.93
A	lab7		4.00
A	lab7		4.02
A	lab7		4.03
A	lab7		4.04
A	lab7		4.10
B	lab7		3.81
B	lab7		3.91
B	lab7		3.96
B	lab7		4.05
B	lab7		4.06
